	marker	geodiversity	u	p	q
0	16SrRNA	Homogenous	87.0	0.4514544553330954	0.4903213814515555
1	16SrRNA	Heterogenous	54.0	0.06459342558772746	0.25837370235090984
2	ITS1	Homogenous	86.0	0.20971624980333065	0.4194324996066613
3	ITS1	Heterogenous	91.0	0.4903213814515555	0.4903213814515555
