	metric	marker	u	p	q
0	weighted	16SrRNA	139908.0	1.3902315821787935e-05	1.8536421095717246e-05
1	unweighted	16SrRNA	137837.0	2.587058180172429e-06	5.174116360344858e-06
2	weighted	ITS1	200995.0	0.30681244015837184	0.30681244015837184
3	unweighted	ITS1	147007.0	3.999913199617045e-18	1.599965279846818e-17
