sample ID	TubePartA_slope_or_plant	TubePartB	DeadOrAlive	Niche	Geodiversity	Experiment	Location	GeoLocation
AS3000	O1	S1	Live	Shrub	Homogenous	H_VS_O	Israel:Ofakim,SayeretShakedPark	"31°16'32.7""N 34°39'22.1""E"
AS3001	O1	S2	Live	Shrub	Homogenous	H_VS_O	Israel:Ofakim,SayeretShakedPark	"31°16'32.7""N 34°39'22.1""E"
AS3002	O1	S3	Live	Shrub	Homogenous	H_VS_O	Israel:Ofakim,SayeretShakedPark	"31°16'32.7""N 34°39'22.1""E"
AS3003	O1	S4	Live	Shrub	Homogenous	H_VS_O	Israel:Ofakim,SayeretShakedPark	"31°16'32.7""N 34°39'22.1""E"
AS3004	O1	S5	Live	Shrub	Homogenous	H_VS_O	Israel:Ofakim,SayeretShakedPark	"31°16'32.7""N 34°39'22.1""E"
AS3005	O1	I1	Live	Intershrub	Homogenous	H_VS_O	Israel:Ofakim,SayeretShakedPark	"31°16'32.7""N 34°39'22.1""E"
AS3006	O1	I2	Live	Intershrub	Homogenous	H_VS_O	Israel:Ofakim,SayeretShakedPark	"31°16'32.7""N 34°39'22.1""E"
AS3007	O1	I3	Live	Intershrub	Homogenous	H_VS_O	Israel:Ofakim,SayeretShakedPark	"31°16'32.7""N 34°39'22.1""E"
AS3008	O1	I4	Live	Intershrub	Homogenous	H_VS_O	Israel:Ofakim,SayeretShakedPark	"31°16'32.7""N 34°39'22.1""E"
AS3009	O1	I5	Live	Intershrub	Homogenous	H_VS_O	Israel:Ofakim,SayeretShakedPark	"31°16'32.7""N 34°39'22.1""E"
AS3010	O2	S1	Live	Shrub	Homogenous	H_VS_O	Israel:Ofakim,SayeretShakedPark	"31°16'32.7""N 34°39'22.1""E"
AS3011	O2	S2	Live	Shrub	Homogenous	H_VS_O	Israel:Ofakim,SayeretShakedPark	"31°16'32.7""N 34°39'22.1""E"
AS3012	O2	S3	Live	Shrub	Homogenous	H_VS_O	Israel:Ofakim,SayeretShakedPark	"31°16'32.7""N 34°39'22.1""E"
AS3013	O2	S4	Live	Shrub	Homogenous	H_VS_O	Israel:Ofakim,SayeretShakedPark	"31°16'32.7""N 34°39'22.1""E"
AS3014	O2	S5	Live	Shrub	Homogenous	H_VS_O	Israel:Ofakim,SayeretShakedPark	"31°16'32.7""N 34°39'22.1""E"
